codigo,nivel,codigo_padre,descripcion,unidad_medida,plantilla,activa,origen
25004999.1002,10,25004999,ALCAN LLUV ACTIVIDAD VARIAS,UN,URBANISMO_INTERNO,true,MAESTRO
25006000,5,25000000,PUNTOS DE INSPECCION,,URBANISMO_INTERNO,true,MAESTRO
25006001,8,25006000,POZOS DE INSPECCION,,URBANISMO_INTERNO,true,MAESTRO
25006001.1001,10,25006001,ALCAN POZO SAN INSPECCION 1.2,UN,URBANISMO_INTERNO,true,MAESTRO
25006001.1002,10,25006001,ALCAN POZO SAN INSPECCION 1.8,UN,URBANISMO_INTERNO,true,MAESTRO
25006001.1003,10,25006001,ALCAN POZO PLU INSPECCION 1.2,UN,URBANISMO_INTERNO,true,MAESTRO
25006001.1004,10,25006001,ALCAN POZO PLU INSPECCION 1.8,UN,URBANISMO_INTERNO,true,MAESTRO
25006002,8,25006000,SUMIDEROS,,URBANISMO_INTERNO,true,MAESTRO
25006002.1001,10,25006002,ALCAN LLUV SUMIDERO SL-200,UN,URBANISMO_INTERNO,true,MAESTRO
25006002.1002,10,25006002,ALCAN LLUV SUMIDERO TRANSV,UN,URBANISMO_INTERNO,true,MAESTRO
25006003,8,25006000,CAJAS DE INSPECCION,,URBANISMO_INTERNO,true,MAESTRO
25006003.1001,10,25006003,SAN CAJA DE INSPECC 0.4 a 0.6,UN,URBANISMO_INTERNO,true,MAESTRO
25006003.1002,10,25006003,SAN CAJA DE INSPECC 0.6 a 0.8,UN,URBANISMO_INTERNO,true,MAESTRO
25006003.1003,10,25006003,SAN CAJA DE INSPECCION >0.8,UN,URBANISMO_INTERNO,true,MAESTRO
25006003.1004,10,25006003,SAN CAJA DE INSPECCION >1.5,UN,URBANISMO_INTERNO,true,MAESTRO
25006003.1005,10,25006003,ALL CAJA DE INSPECC 0.4 a 0.6,UN,URBANISMO_INTERNO,true,MAESTRO
25006003.1006,10,25006003,ALL CAJA DE INSPECC 0.6 a 0.8,UN,URBANISMO_INTERNO,true,MAESTRO
25006003.1007,10,25006003,ALL CAJA DE INSPECCION >0.8,UN,URBANISMO_INTERNO,true,MAESTRO
25006003.1008,10,25006003,ALL CAJA DE INSPECCION >1.5,UN,URBANISMO_INTERNO,true,MAESTRO
25006003.1009,10,25006003,ALL CAJA DESARENARED 0.6 x 0.6,UN,URBANISMO_INTERNO,true,MAESTRO
25007000,5,25000000,CANALETAS,,URBANISMO_INTERNO,true,MAESTRO
25007001,8,25007000,CANALETA CONCRETO,,URBANISMO_INTERNO,true,MAESTRO
25007001.1001,10,25007001,ALC CANALETA CONCRETO,ML,URBANISMO_INTERNO,true,MAESTRO
25010000,5,25000000,FORMALETA ALCANTARILLADO,,URBANISMO_INTERNO,true,MAESTRO
25010001,8,25010000,FORMALETA GL,,URBANISMO_INTERNO,true,MAESTRO
25010001.1001,10,25010001,ALCAN FORMALETA GL,UN,URBANISMO_INTERNO,true,MAESTRO
25011000,5,25000000,EQUIPOS ALCANTARILLADO,,URBANISMO_INTERNO,true,MAESTRO
25011001,8,25011000,EQUIPOS DE OBRA,,URBANISMO_INTERNO,true,MAESTRO
25011001.1001,10,25011001,ALCAN ALQ COMPAC+OPERADOR,GL,URBANISMO_INTERNO,true,MAESTRO
26000000,4,,ACUEDUCTO,,URBANISMO_INTERNO,true,MAESTRO
26001000,5,26000000,EXCAVACIONES Y RELLENOS,,URBANISMO_INTERNO,true,MAESTRO
26001001,8,26001000,EXC A MANO EN COMUN,,URBANISMO_INTERNO,true,MAESTRO
26001001.1001,10,26001001,ACUE EXCAV. COMUN <2.5,M3,URBANISMO_INTERNO,true,MAESTRO
26001001.1002,10,26001001,CINCE EXCAV. COMUN <2.5,M3,URBANISMO_INTERNO,true,MAESTRO
26001005,8,26001000,RELLENOS,,URBANISMO_INTERNO,true,MAESTRO
26001005.1002,10,26001005,ACU RELLENO PISON MAT EXC,M3,URBANISMO_INTERNO,true,MAESTRO
26001005.1003,10,26001005,ACU RELLENO PISON RECEBO,M4,URBANISMO_INTERNO,true,MAESTRO
26001005.1004,10,26001005,RCI RELLENO PISON MAT EXC,M5,URBANISMO_INTERNO,true,MAESTRO
26001005.1005,10,26001005,RCI RELLENO PISON RECEBO,M6,URBANISMO_INTERNO,true,MAESTRO
26001005.1006,10,26001005,ACU RELLENO RANA MAT EXC,M7,URBANISMO_INTERNO,true,MAESTRO
26001005.1007,10,26001005,ACU RELLENO RANA RECEBO,M8,URBANISMO_INTERNO,true,MAESTRO
26001005.1008,10,26001005,RCI RELLENO RANA MAT EXC,M9,URBANISMO_INTERNO,true,MAESTRO
26001005.1009,10,26001005,RCI RELLENO RANA RECEBO,M10,URBANISMO_INTERNO,true,MAESTRO
26001006,8,26001000,RETIRO DE TIERRA,,URBANISMO_INTERNO,true,MAESTRO
26001006.1001,10,26001006,ACUE RETIRO TIERRA EXCAVACION,M3,URBANISMO_INTERNO,true,MAESTRO
26001006.1002,10,26001006,CINCE RETIRO TIERRA EXCAVACION,M3,URBANISMO_INTERNO,true,MAESTRO
26002000,5,26000000,TUBERIAS PVC,,URBANISMO_INTERNO,true,MAESTRO
26002001,8,26002000,TUBERIA PRESION,,URBANISMO_INTERNO,true,MAESTRO
26002001.1001,10,26002001,"ACU RED SUMIN TUB PVC-P 1""",ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1002,10,26002001,"ACU RED SUMIN TUB PVC-P 1-1/2""",ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1003,10,26002001,"ACU RED SUMIN TUB PVC-P 2""",ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1004,10,26002001,"ACU RED SUMIN TUB PVC-P 2-1/2""",ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1005,10,26002001,"ACU RED SUMIN TUB PVC-P 3""",ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1006,10,26002001,"ACU RED SUMIN TUB PVC-P 4""",ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1007,10,26002001,"ACU RED SUMIN TUB PVC-P 6""",ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1008,10,26002001,"ACU RED SUMIN TUB PVC-P 8""",ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1009,10,26002001,"ACU RED SUMIN TUB PVC-P 10""",ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1010,10,26002001,ACU PUNTO AGUA FRIA,UN,URBANISMO_INTERNO,true,MAESTRO
26002001.1011,10,26002001,ACU RED HIDRA SUMIN  1/2'',ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1012,10,26002001,ACU TUBERIA PEAD 75 MM,ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1013,10,26002001,ACU TUBERIA PEAD 90 MM,ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1014,10,26002001,ACU TUBERIA PEAD 110 MM,ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1015,10,26002001,ACU TUBERIA PEAD 160 MM,ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1016,10,26002001,ACU TUBERIA PEAD 200 MM,ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1017,10,26002001,ACU TUBERIA PEAD 250 MM,ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1018,10,26002001,ACU TUBERIA PEAD 300 MM,ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1019,10,26002001,ACU TUBERIA PEAD 315 MM,ML,URBANISMO_INTERNO,true,MAESTRO
26002001.1020,10,26002001,ACU RED HIDRA SUMIN  3/4'',ML,URBANISMO_INTERNO,true,MAESTRO
26004000,5,26000000,ACCESORIOS,,URBANISMO_INTERNO,true,MAESTRO
26004002,8,26004000,VALVULAS,,URBANISMO_INTERNO,true,MAESTRO
26004002.1001,10,26004002,"ACU VALVULAS < 6""",UN,URBANISMO_INTERNO,true,MAESTRO
26004002.1002,10,26004002,"ACU VALVULAS > 6""",UN,URBANISMO_INTERNO,true,MAESTRO
26004003,8,26004000,TOTALIZADOR,,URBANISMO_INTERNO,true,MAESTRO
26004003.1001,10,26004003,ACUE MEDIDOR TOTALIZA INC CAJA,UN,URBANISMO_INTERNO,true,MAESTRO
26005000,5,26000000,CAJAS DE INSPECCION,,URBANISMO_INTERNO,true,MAESTRO
26005002,8,26005000,CAJA PARA VALVULA,,URBANISMO_INTERNO,true,MAESTRO
26005002.1001,10,26005002,ACUE CAJA VALVULAS COMUNALES,UN,URBANISMO_INTERNO,true,MAESTRO
26005002.1002,10,26005002,ACUE CAJA VALVULAS TORRES,UN,URBANISMO_INTERNO,true,MAESTRO
26006000,5,26000000,HIDRANTES,,URBANISMO_INTERNO,true,MAESTRO
26006001,8,26006000,HIDRANTES,,URBANISMO_INTERNO,true,MAESTRO
26006001.1001,10,26006001,"HIDRANTE TIPO TRAFICO < 6""",UN,URBANISMO_INTERNO,true,MAESTRO
26006001.1002,10,26006001,"HIDRANTE TIPO TRAFICO > 6""",UN,URBANISMO_INTERNO,true,MAESTRO
26007000,5,26000000,ESTRUCTURAS CONCRETO,,URBANISMO_INTERNO,true,MAESTRO
26007001,8,26007000,TANQUE SUBTERRANEO,,URBANISMO_INTERNO,true,MAESTRO
26007001.1001,10,26007001,TANQUE EXCAVACION <2.5m,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1002,10,26007001,TANQUE EXCAVACION >2.5m,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1003,10,26007001,TANQUE RETIRO TIERRA,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1004,10,26007001,TANQUE RELLENO PERIMETRAL,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1005,10,26007001,TANQUE REPLANTEO,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1006,10,26007001,TANQUE SOLADOS,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1007,10,26007001,TANQUE VIGAS CIMENTACION,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1008,10,26007001,TANQUE ZAPATAS CIMEN,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1009,10,26007001,TANQUE COLUMNAS,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1010,10,26007001,TANQUE LOSA FONDO,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1011,10,26007001,TANQUE MURO ARM 2 CARAS,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1012,10,26007001,TANQUE VIGA DESCOLG,ML,URBANISMO_INTERNO,true,MAESTRO
26007001.1013,10,26007001,TANQUE LOSA CUBIERTA,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1014,10,26007001,TANQUE CINTA PVC MURO,ML,URBANISMO_INTERNO,true,MAESTRO
26007001.1015,10,26007001,TANQUE FILTRO PERIMETRAL,ML,URBANISMO_INTERNO,true,MAESTRO
26007001.1016,10,26007001,TANQUE RESANE,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1017,10,26007001,TANQUE LAVADA DE TANQUE,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1018,10,26007001,TANQUE IMPERMEAB TQ T.C,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1019,10,26007001,TANQUE TAPA ACCESO,UN,URBANISMO_INTERNO,true,MAESTRO
26007001.1020,10,26007001,TANQUE ESCALERA GATO,UN,URBANISMO_INTERNO,true,MAESTRO
26007001.1021,10,26007001,TANQUE FLOTADOR,UN,URBANISMO_INTERNO,true,MAESTRO
26007001.1022,10,26007001,TANQUE CTO MAQ EXCAVACION,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1023,10,26007001,TANQUE CTO MAQ RETIRO TIERRA,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1024,10,26007001,TANQUE CTO MAQ REPLANTEO,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1025,10,26007001,TANQUE CTO MAQ SOLADOS,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1026,10,26007001,TANQUE CTO MAQ VIGA CIMENTA,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1027,10,26007001,TANQUE CTO MAQ LOSA FONDO,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1028,10,26007001,TANQUE CTO MAQ MURO ARM 2 CARA,M3,URBANISMO_INTERNO,true,MAESTRO
26007001.1029,10,26007001,TANQUE CTO MAQ LOSA CUBIERTA,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1030,10,26007001,TANQUE CTO MAQ FILTRO PERIMETR,ML,URBANISMO_INTERNO,true,MAESTRO
26007001.1031,10,26007001,TANQUE CTO MAQ IMPER  T.C,M2,URBANISMO_INTERNO,true,MAESTRO
26007001.1032,10,26007001,TANQUE DESPLAFONADA CUBIERTA,UN,URBANISMO_INTERNO,true,MAESTRO
